id,event_type,road_names,direction,description,start_date,end_date,vehicle_impact,work_zone_type,reduced_speed_limit_kph,beginning_milepost,ending_milepost,num_lanes,lanes_closed,has_workers,geometry_type,num_coordinates
ORC300433721,work-zone,N FILLMORE AVE,unknown,"Bridge replacement on N FILLMORE AVE both directions KENSINGTON AVE (Buffalo) to E DELAVAN AVE (Buffalo), Monday March 24th, 2025 thru Friday October 31st, 2025, Sunday thru Saturday, 12:00 AM thru 11:59 PM All lanes closed",2025-03-24T04:00:00.000+00:00,2025-11-01T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300455972,work-zone,CT-99,unknown,"Crack sealing and expansion joint repairs and paving operations on CT-99 both directions between TOWN LINE RD (Wethersfield) and OXFORD ST (Wethersfield) There will be various lane closures , Monday July 14th, 2025 thru Friday November 7th, 2025, Sunday thru Saturday, 07:00 AM thru 04:00 PM All lanes open",2025-07-14T11:00:00.000+00:00,2025-11-08T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300486210,work-zone,I-690,unknown,"Installation of sign structure on I-690 westbound between Exit 17 - Bridge Street (De Witt) and Exit 16N and Exit 16S - NY 635 Thompson Road (Syracuse), Continuous Monday September 22nd, 2025 09:00 AM thru Saturday November 15th, 2025 03:00 PM right shoulder closed",2025-09-22T13:00:00.000+00:00,2025-11-16T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32553009,work-zone,NY 376,unknown,"Safety improvements on NY 376 both directions between Orchard Street (East Fishkill) D265496/32553009 - This work is weather permitting. Plan travel accordingly; delays may exist, Monday October 6th, 2025 thru Friday October 17th, 2025, Monday thru Friday, 09:00 AM thru 04:00 PM, alternating traffic",2025-10-06T13:00:00.000+00:00,2025-10-18T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32548909,work-zone,NY 52,unknown,"Utility work on NY 52 both directions between Leetown Road (East Fishkill) and NY 376 (East Fishkill) 2024081748389/32548909 - This work is weather permitting. Plan travel accordingly; delays may exist, Monday September 8th, 2025 thru Tuesday November 25th, 2025, Monday thru Friday, 09:00 AM thru 04:00 PM, alternating traffic, Monday December 1st, 2025, 10:00 AM thru 04:00 PM, alternating traffic, Tuesday December 2nd, 2025 thru Tuesday December 23rd, 2025, Monday thru Friday, 09:00 AM thru 04:00 PM, alternating traffic, Monday December 29th, 2025, 10:00 AM thru 04:00 PM, alternating traffic, Tuesday December 30th, 2025 thru Wednesday December 31st, 2025 Tuesday/ Wednesday, 09:00 AM thru 04:00 PM, alternating traffic",2025-09-08T13:00:00.000+00:00,2026-01-01T04:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC32570809,work-zone,Cross County Parkway,unknown,"Bridge rehabilitation on Cross County Parkway westbound between Exit 8 - NY 22 (Mount Vernon) and Exit 6 - Bronx River Parkway (Mount Vernon) D265316/NIGHT/B5501230-5501210/32570809 - This work is weather permitting. Plan travel accordingly; delays may exist, Sunday September 21st, 2025 thru Friday October 31st, 2025 Sunday/ Monday/ Tuesday/ Wednesday/ Thursday, 11:00 PM thru 05:00 AM, various lane closures",2025-09-22T03:00:00.000+00:00,2025-11-01T03:59:59.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300483534,work-zone,RIDGE ST,unknown,"Construction on RIDGE ST southbound between STANTON ST (New York) to excavate & install conduit and manhole enlargement for new major service., Saturday September 13th,2025 thru Saturday October 11th,2025, Saturday, 08:00 AM thru 06:00 PM All lanes closed southbound,",2025-09-13T12:00:00.000+00:00,2025-10-12T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300483535,work-zone,E 159TH ST,unknown,"Construction on E 159TH ST westbound between MELROSE AVE (New York) and COURTLANDT AVE (New York) for northbound lull lift in the roadway to install steel., Friday September 12th, 2025 thru Tuesday November 11th, 2025, Sunday thru Saturday, 09:00 AM thru 04:00 PM All lanes closed",2025-09-12T13:00:00.000+00:00,2025-11-12T04:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300482688,work-zone,I-678,unknown,"Construction on I-678 southbound from Hillside Avenue (New York) to Exit 5 - 101st Avenue (New York) Subject to change without notice., Monday September 29th, 2025 thru Friday October 17th, 2025, Monday thru Friday, 10:00 AM thru 02:00 PM 1 Right lane of 4 lanes closed, Monday September 29th, 2025 thru Friday October 17th, 2025, Monday/Tuesday/Wednesday/Thursday, 11:00 PM thru 01:00 AM 1 Right lane of 4 lanes closed, Tuesday September 30th, 2025 thru Friday October 17th, 2025, Tuesday/Wednesday/Thursday/Friday, 01:00 AM thru 05:00 AM 2 Right lanes of 4 lanes closed, Saturday October 11th, 2025 thru Sunday October 12th, 2025, Saturday/ Sunday, 08:00 AM thru 03:00 PM 1 Left lane of 4 lanes closed, Saturday October 11th, 2025 thru Sunday October 12th, 2025, Saturday/ Sunday, 01:00 AM thru 07:00 AM 2 Left lanes of 4 lanes closed, Saturday October 18th, 2025 thru Sunday October 19th, 2025, Saturday/ Sunday, 08:00 AM thru 03:00 PM 1 Left lane of 4 lanes closed, Saturday October 18th, 2025 thru Sunday October 19th, 2025, Saturday/ Sunday, 01:00 AM thru 07:00 AM 2 Left lanes of 4 lanes closed",2025-09-29T14:00:00.000+00:00,2025-10-20T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
ORC300483530,work-zone,JOHN ST,unknown,"Construction on JOHN ST eastbound between CLIFF ST (New York) and PEARL ST (New York) for major gas installation., Saturday September 13th, 2025 thru Saturday November 1st, 2025, 08:00 AM thru 06:00 PM All lanes closed, Sunday September 14th, 2025 thru Sunday October 26th, 2025, 09:00 AM thru 06:00 PM All lanes closed",2025-09-13T12:00:00.000+00:00,2025-11-02T03:59:00.000+00:00,unknown,static,,,,0,0,False,MultiPoint,1
